"I.P01" "I.P07" "I.P11" "I.S07" "I.S29" "I.S34" "I.W31" "I.W32" "I.W33" "S.P03" "S.P09" "S.P12" "S.S05" "S.S08" "S.S32" "S.W20" "S.W36" "S.W37"
"Bacteria.Proteobacteria.Deltaproteobacteria.Myxococcales.Polyangiaceae.Polyangium.NA" 5 19 3 5 24 26 0 0 3 5 0 0 0 2 14 0 0 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.Xanthobacter.NA" 3 5 1 3 3 2 8 6 0 16 7 3 4 2 0 0 7 0
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Alteromonadaceae.Alishewanella.NA" 8 14 3 0 23 2 0 0 2 2 2 1 17 1 0 0 3 4
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.Caldimonas.NA" 10 31 50 14 64 61 24 80 40 3 10 38 50 8 16 46 12 18
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.Simplicispira.NA" 1 1 1 3 4 1 16 9 19 1 2 1 4 8 0 17 5 11
"Bacteria.Proteobacteria.Betaproteobacteria.Nitrosomonadales.Sterolibacteriaceae.Methyloversatilis.NA" 1 0 0 1 1 0 0 1 2 0 0 0 0 1 0 0 0 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Thalassobaculum.NA" 10 20 14 31 12 1 0 1 0 34 23 4 114 3 1 1 30 11
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.Extensimonas.NA" 3 3 6 3 3 1 18 21 26 1 4 1 1 0 1 25 14 10
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Alteromonadaceae.Lacimicrobium.NA" 2 6 0 2 9 1 0 0 23 2 9 3 1 28 0 0 1 11
"Bacteria.Proteobacteria.Betaproteobacteria.Rhodocyclales.Rhodocyclaceae.Rugosibacter.NA" 9 4 4 11 4 9 23 19 26 3 7 6 20 1 7 22 16 13
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.Azorhizobium.NA" 4 4 3 4 4 3 5 3 2 4 3 4 3 1 2 0 8 9
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.Ancylobacter.NA" 1 5 1 4 1 2 0 0 0 1 3 16 0 1 9 0 0 3
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Bradyrhizobiaceae.Afipia.NA" 3 2 2 1 0 1 1 31 7 0 6 0 0 1 1 1 2 4
"Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Citromicrobium.NA" 3 0 0 1 0 1 0 0 3 0 1 0 1 4 0 0 0 0
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.Delftia.NA" 7 2 3 4 16 3 2 41 0 12 5 16 5 0 0 2 0 3
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Leclercia.NA" 6 23 10 3 2 19 0 0 9 0 13 0 7 2 32 12 0 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Jannaschia.NA" 4 11 10 16 5 2 3 16 6 1 2 4 5 3 6 0 11 3
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfohalobiaceae.Desulfonatronospira.NA" 8 47 9 17 11 18 8 158 23 18 6 5 20 13 8 9 11 13
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Neokomagataea.NA" 6 8 4 49 7 6 1 7 0 0 5 10 13 2 1 0 4 14
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.Neorhizobium.NA" 1 1 0 0 0 1 0 1 18 1 1 0 0 1 0 3 0 0
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Psychromonadaceae.Corallincola.NA" 7 8 2 4 12 3 0 4 3 13 3 6 8 0 0 0 3 3
"Bacteria.Proteobacteria.Gammaproteobacteria.Thiotrichales.Fastidiosibacteraceae.Cysteiniphilum.NA" 7 16 21 11 17 7 16 58 20 18 10 5 5 2 5 27 15 9
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Shewanellaceae.Parashewanella.NA" 2 0 0 6 0 0 4 2 1 3 0 2 0 1 0 2 0 2
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.Geomonas Khan et al. 2020.NA" 9 5 3 7 15 0 17 42 29 5 8 6 25 2 8 35 13 15
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Lichenibacteriaceae.Lichenibacterium.NA" 3 0 0 0 0 1 0 2 0 0 0 0 2 0 1 0 10 8
"Bacteria.Proteobacteria.Alphaproteobacteria.Rickettsiales.Rickettsiaceae.Orientia.NA" 1 1 1 0 0 8 0 0 0 0 0 2 1 0 4 0 0 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Pannonibacter.NA" 1 3 3 1 0 2 0 0 0 0 0 7 0 3 0 0 1 1
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Thalassobacter.NA" 8 1 1 1 1 0 0 0 1 1 0 0 5 2 0 2 9 31
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.NA.Methylibium.NA" 2 6 0 2 2 1 7 13 10 0 0 2 3 1 1 7 7 9
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Haematobacter.NA" 3 4 0 58 1 2 2 20 3 1 5 1 3 31 19 2 52 37
"Bacteria.Proteobacteria.Betaproteobacteria.Ferrovales.Ferrovaceae.Ferrovum.NA" 6 7 15 7 15 9 18 41 34 8 9 2 16 3 5 30 28 15
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Boseongicola.NA" 1 4 0 1 0 0 0 0 2 1 1 1 2 0 1 0 1 0
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.Brachymonas.NA" 1 0 1 0 3 0 0 0 2 5 0 2 1 0 0 1 2 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Gluconacetobacter.NA" 1 0 0 10 1 2 2 4 3 1 1 3 2 2 0 0 3 3
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Aurantimonadaceae.Fulvimarina.NA" 2 0 0 0 1 3 0 0 0 0 0 1 1 0 0 0 0 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Rhodovarius.NA" 3 8 6 1 5 4 2 123 0 30 4 2 1 0 0 9 2 20
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Marivita.NA" 2 0 0 1 0 0 0 0 0 2 0 7 9 0 1 0 0 0
"Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Rhodanobacteraceae.Oleiagrimonas.NA" 1 0 3 7 1 6 0 2 5 4 1 1 2 2 1 0 28 1
"Bacteria.Proteobacteria.Gammaproteobacteria.Chromatiales.Chromatiaceae.Allochromatium.NA" 3 5 1 0 3 1 0 79 1 12 5 5 0 2 0 1 2 10
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Leisingera.NA" 2 1 5 1 1 4 0 0 0 3 0 2 1 0 0 0 6 16
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.Shinella.NA" 2 1 2 2 8 0 1 82 3 68 1 1 27 3 2 5 6 12
"Bacteria.Proteobacteria.Betaproteobacteria.Neisseriales.Chromobacteriaceae.Gulbenkiania.NA" 5 2 0 4 7 3 1 3 0 4 9 0 6 13 0 0 2 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Phyllobacteriaceae.Chelativorans.NA" 2 13 4 11 7 2 1 11 3 7 6 7 2 26 8 1 29 11
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Kangiellaceae.Pleionea.NA" 1 0 1 0 0 0 0 5 1 4 0 0 3 1 0 0 0 0
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Ursidibacter.NA" 2 0 1 3 1 0 8 39 13 12 3 0 0 1 4 0 2 0
"Bacteria.Proteobacteria.Deltaproteobacteria.Myxococcales.Archangiaceae.Stigmatella.NA" 1 0 1 12 5 1 0 0 1 0 0 2 2 1 0 0 1 0
"Bacteria.Proteobacteria.Betaproteobacteria.Nitrosomonadales.Nitrosomonadaceae.Nitrosovibrio.NA" 3 8 0 1 6 0 0 178 0 27 15 0 3 0 2 6 0 12
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Methylocystaceae.Methylopila.NA" 1 0 2 5 0 0 0 5 3 3 2 1 1 0 0 4 18 23
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Bradyrhizobiaceae.Tardiphaga.NA" 5 1 7 6 1 2 0 0 1 0 1 0 1 2 1 0 0 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rickettsiales.Anaplasmataceae.Anaplasma.NA" 4 10 13 28 0 4 7 2 5 5 0 13 5 10 1 0 8 3
"Bacteria.Proteobacteria.Gammaproteobacteria.Chromatiales.Ectothiorhodospiraceae.Arhodomonas.NA" 2 2 1 13 1 0 0 0 1 1 1 1 1 7 6 0 11 2
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Asaia.NA" 2 2 1 1 1 2 0 0 0 0 0 1 2 1 0 0 4 10
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Hyphomicrobiaceae.Filomicrobium.NA" 4 4 3 4 3 1 2 0 2 4 0 0 3 2 0 0 1 0
"Bacteria.Proteobacteria.Gammaproteobacteria.Vibrionales.Vibrionaceae.Grimontia.NA" 2 0 2 6 4 0 6 3 4 3 1 4 4 2 0 4 1 3
"Bacteria.Proteobacteria.Gammaproteobacteria.Chromatiales.Chromatiaceae.Arsukibacterium.NA" 1 0 0 8 2 0 0 1 0 2 0 0 7 2 0 0 1 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Acidisoma.NA" 3 2 1 20 0 5 1 7 9 1 1 2 5 1 1 0 13 5
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Puniceibacterium.NA" 2 1 9 0 3 15 0 1 1 10 0 1 5 0 5 0 0 0
"Bacteria.Proteobacteria.Betaproteobacteria.Neisseriales.Chromobacteriaceae.Microvirgula.NA" 3 3 4 14 18 14 4 1 30 0 10 17 5 6 1 2 2 22
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Cedecea.NA" 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Maribius.NA" 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Donghicola.NA" 2 10 1 8 5 11 0 1 0 2 1 1 0 0 1 1 0 0
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.Serpentinomonas.NA" 1 0 1 0 1 0 0 0 0 2 2 2 1 1 1 0 1 0
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Alkanindiges.NA" 1 0 0 1 0 1 0 1 0 10 0 0 0 0 0 2 0 0
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Alteromonadaceae.Aliagarivorans.NA" 1 3 7 13 16 3 9 7 13 2 3 7 19 8 0 1 2 8
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.NA.Desulfovibrionaceae bacterium" 48780 49940 23810 77792 136205 111047 44275 46698 21468 12152 37675 67351 3241 9308 97092 8281 11896 3233
"Bacteria.Proteobacteria.NA.NA.NA.NA.Proteobacteria bacterium CAG:495" 24573 16269 20135 49525 2088 1995 207 85795 10070 9838 12457 8111 8850 23136 2391 332 71582 6903
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Klebsiella.Klebsiella oxytoca" 23423 8381 5212 7222 17905 55545 3271 3974 3477 15144 9678 14727 26848 6984 16726 593 4367 1852
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Azospirillum.Azospirillum sp. CAG:239" 10863 4933 6920 20160 2312 716 211 16707 2636 5149 4370 4489 4155 5977 2964 349 51241 4606
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Azospirillum.Azospirillum sp. 51_20" 6067 2867 5131 9065 1731 582 166 7743 1890 3927 2659 9854 1999 4315 2515 170 20414 2540
"Bacteria.Proteobacteria.Gammaproteobacteria.Vibrionales.Vibrionaceae.Vibrio.Vibrio parahaemolyticus" 5986 5650 2624 5509 5296 6198 3086 1895 4602 4964 4093 4015 9615 2662 5668 1113 2366 2940
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Mailhella.Mailhella massiliensis" 4328 4325 5422 33749 6557 4838 4898 5682 6326 36988 13713 3546 7307 20581 6847 57475 5645 17442
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio sp. ZJ200" 2769 2936 3768 2219 7076 9405 1500 2344 40605 1020 1440 3976 1877 737 2320 539 65014 531
"Bacteria.Proteobacteria.Alphaproteobacteria.NA.NA.NA.uncultured Alphaproteobacteria bacterium" 2075 1614 1555 5077 1414 159 25 3290 967 1480 1126 2056 1646 1320 795 56 6638 833
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Acetobacter.Acetobacter sp. 46_36" 1832 3269 4350 3508 3822 461 80 2975 231 8062 1708 3220 1147 7171 9357 74 9621 278
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Acidiphilium.Acidiphilium sp. CAG:727" 1701 3537 1847 2561 1167 818 368 295 506 4010 1194 2910 4110 1661 1170 32 900 187
"Bacteria.Proteobacteria.Deltaproteobacteria.NA.NA.NA.Deltaproteobacteria bacterium" 1525 1746 911 1858 2333 1232 816 2994 1535 1417 1103 1537 2395 955 988 645 1519 1160
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Parasutterella.Parasutterella sp. NM82_D38" 1515 1451 2047 2917 1909 1100 14940 14216 17542 2709 3267 295 3266 1385 1029 21481 9852 7816
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Azospirillum.Azospirillum sp." 1403 528 568 1698 1108 129 53 292 78 1063 320 609 351 184 1236 63 851 144
"Bacteria.Proteobacteria.Deltaproteobacteria.Myxococcales.Myxococcaceae.Corallococcus.Corallococcus sp. CAG:1435" 1317 3053 14859 9955 610 667 1147 281 5540 1353 2268 5766 5242 11997 443 47 2066 1747
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio piger" 1303 3029 803 2162 2955 2914 621 1640 4199 857 890 1142 1030 861 1895 2096 5486 756
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Escherichia coli" 1274 1314 795 3232 2880 1458 2975 3057 7110 1349 1285 1489 1921 785 1119 729 1453 4140
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio sp. ZJ369" 1194 4045 3333 2056 5643 8777 1282 2039 39214 706 1508 3094 1824 604 2073 404 61728 388
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Bilophila.Bilophila wadsworthia" 1127 1258 985 1903 3930 7305 619 2445 7304 2207 949 2664 1128 610 2351 1533 3084 875
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Azospirillum.Azospirillum sp. CAG:260" 1121 866 607 1894 1096 104 31 788 175 1204 808 600 639 578 481 20 2188 226
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Acetobacter.Acetobacter sp. CAG:267" 1003 1771 2197 1783 2090 228 14 1263 110 4261 965 1705 519 4294 4416 52 5233 158
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.Acinetobacter baumannii" 840 323 394 721 1510 249 540 1393 400 860 409 422 1056 382 217 1224 884 465
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Sutterella.Sutterella sp. CAG:521" 835 411 318 599 1170 606 1165 1466 1443 425 356 265 1399 328 245 1926 836 705
"Bacteria.Proteobacteria.Alphaproteobacteria.NA.NA.NA.Alphaproteobacteria bacterium" 704 798 628 735 739 344 153 967 362 485 458 799 601 347 594 61 1211 1048
"Bacteria.Proteobacteria.Gammaproteobacteria.NA.NA.NA.Gammaproteobacteria bacterium" 674 602 439 853 1064 522 554 1268 892 796 530 706 1379 360 436 580 1052 917
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinivibrio.Succinivibrio dextrinosolvens" 638 1247 313 861 846 571 247 285 370 880 341 1089 1012 356 473 184 244 220
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter coli" 567 96 474 51 843 2030 522 14 50 59 205 52 253 72 1061 56 38 784
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio sp. 6_1_46AFAA" 483 614 275 1263 1342 1858 387 854 2489 395 392 797 385 135 1637 125 2240 132
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter fetus" 478 47 527 219 657 959 81 64 254 130 368 222 3268 322 267 24 31 55
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter jejuni" 478 38 620 120 1438 3757 1088 44 61 82 256 17 548 24 1623 116 20 1435
"Bacteria.Proteobacteria.NA.NA.NA.NA.Proteobacteria bacterium" 456 636 317 660 803 445 435 1447 665 761 418 728 797 387 342 267 702 610
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Helicobacteraceae.Helicobacter.Helicobacter sp. 12S02634-8" 439 148 157 203 300 111 75 254 104 36 112 116 245 41 737 29 49 24
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Acetobacter.Acetobacter sp. CAG:977" 428 324 402 575 565 162 53 739 316 283 214 216 389 241 259 60 1112 2142
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Azospirillum.Azospirillum sp. 47_25" 426 524 498 1264 561 36 5 754 133 754 213 459 442 219 83 13 1494 270
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Helicobacteraceae.Helicobacter.Helicobacter pylori" 422 67 97 79 197 168 93 76 392 100 45 108 292 168 119 55 63 336
"Bacteria.Proteobacteria.Deltaproteobacteria.NA.NA.NA.uncultured delta proteobacterium" 413 525 334 382 546 681 151 270 601 368 268 208 437 166 245 119 198 125
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinatimonas.Succinatimonas hippei" 409 389 151 435 436 223 171 136 272 359 289 460 699 298 180 73 364 177
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.Pseudomonas lactis" 394 24 1 142 21 1 0 39 6 259 400 2 114 8 5 31 0 4
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinimonas.Succinimonas amylolytica" 375 5076 115 287 223 354 90 95 197 438 291 309 879 87 239 49 118 72
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio sp. An276" 371 813 223 476 441 514 235 520 1145 402 251 241 621 265 235 481 412 229
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Roseobacter.Roseobacter sp. AzwK-3b" 368 28 26 250 41 2 0 14 1 387 399 39 182 43 51 0 83 19
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio sp. PG-178-WT-4" 364 1986 408 424 1006 1063 293 311 2924 206 245 340 454 231 368 148 3708 124
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.Oxalobacter.Oxalobacter formigenes" 314 160 85 227 400 148 221 213 279 121 125 82 281 98 47 181 226 126
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter cuniculorum" 305 3 479 7 1188 3064 840 5 42 20 166 1 306 2 1323 128 3 1136
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Bilophila.Bilophila sp. 4_1_30" 301 723 174 568 504 644 306 193 906 253 282 336 427 237 432 338 264 135
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Gallibacterium.Gallibacterium genomosp. 3" 286 13 43 37 16 903 23 39 17 37 9 45 217 46 5 3 17 9
"Bacteria.Proteobacteria.Gammaproteobacteria.Chromatiales.Chromatiaceae.Thiocystis.Thiocystis violascens" 285 12 14 6 9 8 6 191 1 34 17 33 131 27 27 9 4 21
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales.Desulfobacteraceae.NA.Desulfobacteraceae bacterium" 268 225 150 367 313 229 171 867 210 294 208 227 306 171 210 181 168 266
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Klebsiella.Klebsiella pneumoniae" 243 207 510 535 433 284 201 442 255 585 425 419 787 521 863 280 394 262
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Parasutterella.Parasutterella excrementihominis" 242 179 275 364 261 150 2021 1847 2706 479 422 58 374 151 119 3555 1109 946
"Bacteria.Proteobacteria.Betaproteobacteria.Rhodocyclales.Rhodocyclaceae.Propionivibrio.Candidatus Propionivibrio aalborgensis" 234 8 56 21 91 33 3 1 3 5 34 19 215 51 146 0 3 5
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.NA.NA.Rhizobiales bacterium" 233 198 218 403 399 276 134 238 207 308 194 213 338 201 168 60 272 354
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Taylorella.Taylorella asinigenitalis" 226 137 32 179 65 62 283 211 284 57 411 75 947 43 301 407 174 202
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.Curvibacter.Curvibacter putative symbiont of Hydra magnipapillata" 223 56 47 158 284 48 210 214 242 83 76 67 97 146 197 311 180 121
"Bacteria.Proteobacteria.Betaproteobacteria.NA.NA.NA.Betaproteobacteria bacterium" 222 231 232 232 278 226 472 570 624 177 197 190 511 98 87 617 464 344
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfuromonadales.Desulfuromonadaceae.Desulfuromonas.Desulfuromonas sp." 216 241 147 276 379 211 225 555 433 308 198 187 458 144 122 101 295 243
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Pararhodospirillum.Pararhodospirillum photometricum" 214 184 184 414 132 97 49 324 114 204 153 179 247 234 161 99 780 275
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Alteromonadaceae.Marinobacter.Marinobacter mobilis" 214 3 73 14 4 11 8 1 5 4 24 27 147 79 239 0 11 0
"Bacteria.Proteobacteria.Oligoflexia.Bdellovibrionales.NA.NA.Bdellovibrionales bacterium RIFOXYD1_FULL_53_11" 214 23 12 17 19 10 5 263 12 49 24 21 140 21 4 18 5 41
"Bacteria.Proteobacteria.NA.NA.NA.NA.Proteobacteria bacterium CAG:139" 206 196 250 310 218 152 1681 1687 2219 318 350 47 432 166 112 2474 1227 876
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Lawsonia.Lawsonia intracellularis" 204 529 283 948 530 1415 191 433 2133 1484 334 209 667 473 361 1125 539 472
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.NA.Rhodospirillaceae bacterium" 201 157 218 269 199 92 45 493 153 159 149 221 124 167 163 28 522 556
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfomicrobiaceae.Desulfomicrobium.Desulfomicrobium orale" 191 225 109 248 460 428 170 169 319 40 128 204 130 47 324 19 164 52
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter hepaticus" 189 10 249 43 771 1620 470 21 40 24 78 1 184 26 772 51 32 665
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Hahellaceae.Zooshikella.Zooshikella ganghwensis" 188 39 33 41 64 91 38 3 16 36 31 110 632 17 45 11 4 15
"Bacteria.Proteobacteria.Gammaproteobacteria.Orbales.Orbaceae.Gilliamella.Gilliamella apicola" 182 248 103 161 193 126 35 126 83 187 108 138 264 142 251 33 299 104
"Bacteria.Proteobacteria.Betaproteobacteria.Rhodocyclales.Rhodocyclaceae.Azospira.Azospira oryzae" 174 113 23 106 71 24 16 28 72 175 146 65 88 34 21 32 96 38
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Helicobacteraceae.Helicobacter.Helicobacter canadensis" 168 17 26 15 87 95 13 3 6 0 41 12 9 19 28 3 5 25
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Salmonella.Salmonella enterica" 166 223 93 336 187 106 117 190 209 97 179 183 223 118 123 54 109 103
"Bacteria.Proteobacteria.Gammaproteobacteria.Vibrionales.Vibrionaceae.Vibrio.Vibrio breoganii" 166 4 20 32 8 9 20 5 9 8 5 18 71 51 10 0 11 7
"Bacteria.Proteobacteria.Alphaproteobacteria.Holosporales.Caedimonadaceae.NA.Caedimonadaceae bacterium" 164 82 179 146 194 110 106 336 343 385 166 161 208 83 23 23 82 42
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Saccharospirillaceae.Gynuella.Gynuella sunshinyii" 163 11 5 71 16 6 1 23 10 139 137 11 61 7 22 4 4 5
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.NA.Succinivibrionaceae bacterium WG-1" 161 48 40 152 217 88 51 63 177 205 117 145 192 69 131 30 119 97
"Bacteria.Proteobacteria.Deltaproteobacteria.NA.NA.NA.delta proteobacterium ML8_F1" 157 51 46 132 158 135 51 63 68 201 105 83 238 54 41 34 46 14
"Bacteria.Proteobacteria.Gammaproteobacteria.Nevskiales.Sinobacteraceae.Sinimarinibacterium.Sinimarinibacterium sp. CAU 1509" 157 4 0 7 32 6 22 11 36 3 5 0 11 84 3 14 9 15
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales.Desulfobulbaceae.Desulfobulbus.Desulfobulbus propionicus" 153 126 39 54 112 44 61 215 54 39 64 77 110 45 28 31 34 66
