"","I.S07","I.S29","I.S34","S.S05","S.S08","S.S32"
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Sediminicola*Sediminicola luteus",30,172,21,146,8,59
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter westerhofensis",58,176,19,23,15,15
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Xanthomarina*Xanthomarina gelatinilytica",18,69,1,18,18,13
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Flavihumibacter*Flavihumibacter solisilvae",72,99,38,52,31,11
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Apibacter*Apibacter mensalis",123,40,15,24,16,10
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. MedPE-SWcel",13,31,30,5,4,5
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium sp. 39-10",22,151,20,34,20,50
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Chitinophaga*[Flexibacter] sp. ATCC 35208",41,46,8,58,7,4
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium HGW-Bacteroidetes-12",9,89,13,23,62,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Winogradskyella*Winogradskyella aurantiaca",16,39,10,16,14,11
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Algoriphagus*Algoriphagus kandeliae",40,19,20,61,32,61
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Dyadobacter*Dyadobacter bucti",9,49,19,26,68,10
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter heparinus",89,132,82,24,97,48
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium branchiophilum",26,87,44,31,20,39
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium xanthum",43,164,10,60,31,16
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter chitinivorans",22,24,64,14,7,4
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Emticicia*Emticicia oligotrophica",11,23,7,19,13,10
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium suncheonense",21,53,4,49,11,7
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium composti Ten et al. 2007 non Yoo et al. 2007",69,28,18,63,18,12
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter ginsenosidivorans",28,57,8,15,88,6
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Aequorivita*Aequorivita capsosiphonis",35,39,18,6,33,76
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Porphyromonadaceae*Petrimonas*Petrimonas mucosa",38,50,22,82,75,11
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Cryomorphaceae*NA*Cryomorphaceae bacterium BACL23 MAG-120924-bin60",47,63,49,52,16,9
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Flammeovirgaceae*Flammeovirga*Flammeovirga sp. SJP92",55,30,65,45,25,18
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Lutibacter*Lutibacter oceani",22,19,1,19,3,4
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium CG18_big_fil_WC_8_21_14_2_50_41_14",4,33,7,22,3,6
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*NA*Flavobacteriaceae bacterium PLHSN227",87,113,7,127,48,30
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Sediminibacterium*Sediminibacterium sp. WSJ-3",39,65,24,17,10,24
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Myroides*Myroides odoratus",29,49,21,17,64,3
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Cytophaga*Cytophaga hutchinsonii",32,26,58,35,16,39
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Empedobacter*Empedobacter falsenii",37,65,15,34,26,37
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Sediminibacterium*Sediminibacterium ginsengisoli",31,31,13,29,21,78
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Muricauda*Muricauda lutaonensis",61,9,3,11,3,18
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Niastella*Niastella populi",76,32,12,49,41,7
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter nutrimenti",22,32,39,24,36,10
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Leeuwenhoekiella*Leeuwenhoekiella sp. MAR_2009_132",4,36,18,12,5,2
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium yanglingense",37,95,9,19,51,25
"Bacteria*Bacteroidetes*Saprospiria*Saprospirales*Haliscomenobacteraceae*Phaeodactylibacter*Phaeodactylibacter xiamenensis",83,158,45,137,66,40
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Seonamhaeicola*Seonamhaeicola algicola",11,13,4,26,23,23
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter phyllosphaerae",55,96,48,24,45,48
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Capnocytophaga*Capnocytophaga stomatis",54,38,20,166,22,11
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes*Alistipes sp. AF14-19",27,63,55,26,35,39
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Emticicia*Emticicia sp. C21",43,20,6,35,20,16
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter sp. F01003",136,12,5,69,3,4
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Muribaculaceae*Duncaniella*Duncaniella sp. B8",37,5,10,40,113,51
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Myroides*Myroides odoratimimus",1,28,32,41,17,1
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter norwichensis",24,129,8,42,49,30
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Niastella*Niastella koreensis",53,9,8,26,30,32
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Zeaxanthinibacter*Zeaxanthinibacter enoshimensis",26,75,18,25,12,19
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Flavihumibacter*Flavihumibacter petaseus",108,142,33,68,62,27
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Arenibacter*Arenibacter nanhaiticus",49,40,29,17,13,11
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Indibacter*Indibacter alkaliphilus",185,109,12,102,10,6
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Flammeovirgaceae*Marivirga*Marivirga lumbricoides",41,43,11,23,32,14
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Odoribacteraceae*Odoribacter*Odoribacter splanchnicus CAG:14",18,98,50,94,22,604
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter sp. NFR10",24,7,7,34,13,8
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Rufibacter*Rufibacter ruber",15,139,34,29,85,23
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*NA*Flavobacteriaceae bacterium CP2B",26,43,32,50,15,4
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. RP-1-14",16,9,11,18,30,14
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flagellimonas*Flagellimonas sp. HSM57",31,24,12,23,13,16
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Bernardetiaceae*Bernardetia*Bernardetia litoralis",50,154,15,40,24,20
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Robiginitalea*Robiginitalea biformata",16,77,20,36,14,43
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Aquiflexum*Aquiflexum balticum",19,35,19,21,57,7
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Pseudobacter*Pseudobacter ginsenosidimutans",27,54,11,152,37,19
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Myroides*Myroides phaeus",28,21,38,38,11,5
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Myroides*Myroides injenensis",52,18,19,41,26,21
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium akiainvivens",45,245,36,123,35,51
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Formosa*Formosa sp. Hel3_A1_48",23,8,6,29,10,11
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Moheibacter*Moheibacter sediminis",37,47,12,48,17,34
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Flavihumibacter*Flavihumibacter sp. ZG627",46,37,51,42,21,7
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*NA*Cytophagaceae bacterium SCN 52-12",46,152,84,117,29,29
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Dyadobacter*Dyadobacter sp. SG02",35,83,39,56,14,20
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Tenacibaculum*Tenacibaculum sp. M341",32,28,11,21,2,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*NA*Flavobacteriaceae bacterium M625",23,68,19,10,12,1
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Aequorivita*Aequorivita sp. q18",6,86,11,16,23,12
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Cytophaga*Cytophaga aurantiaca",73,44,36,74,22,6
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium jeonii",9,8,4,17,4,18
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Cyclobacterium*Cyclobacterium amurskyense",5,37,2,13,16,6
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Adhaeribacter*Adhaeribacter aerolatus",70,71,17,16,55,26
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Psychroflexus*Psychroflexus halocasei",23,75,2,6,13,5
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Mangrovimonas*Mangrovimonas yunxiaonensis",5,136,1,17,2,1
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Capnocytophaga*Capnocytophaga sp. oral taxon 863",3,37,113,7,4,25
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Arcticibacter*Arcticibacter svalbardensis",16,84,11,23,31,17
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Aquimarina*Aquimarina pacifica",9,349,4,49,28,9
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium gobiense",41,47,17,18,13,8
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Chitinophaga*Chitinophaga sp. S165",80,35,9,49,24,1
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. OK701",74,60,13,35,11,15
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella*Prevotella sp. Marseille-P4334",12,21,12,7,4,4
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides*Bacteroides sp. AM54-2NS",89,165,18,35,23,30
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter sp. CCM 8763",2,34,9,6,11,7
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium sp. JUb78",14,23,9,6,74,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Arenibacter*Arenibacter aquaticus",61,92,7,56,44,7
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Flammeovirgaceae*Fulvivirga*Fulvivirga sp. RKSG066",122,62,29,41,35,12
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Niastella*Niastella caeni",49,76,29,36,30,42
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium sp. legu1",25,22,38,6,7,14
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Tenacibaculum*Tenacibaculum ovolyticum",13,15,10,8,3,1
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium weaverense",10,14,14,13,9,7
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Pontibacter*Pontibacter actiniarum",61,28,18,24,12,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Nonlabens*Nonlabens spongiae",45,90,24,50,30,55
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Chitinophaga*Chitinophaga terrae Kim and Jung 2007",179,153,38,139,23,37
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Flavisolibacter*Flavisolibacter ginsengisoli",42,41,23,146,27,46
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Tenacibaculum*Tenacibaculum sp. SG-28",28,20,25,37,8,10
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Aequorivita*Aequorivita viscosa",10,89,2,12,4,21
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Salegentibacter*Salegentibacter echinorum",41,57,23,35,11,39
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Algoriphagus*Algoriphagus zhangzhouensis",17,12,12,19,1,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Altibacter*Altibacter lentus",6,25,3,12,19,6
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter pineti",16,34,33,24,16,9
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Belliella*Belliella buryatensis",8,73,8,22,10,18
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. Root420",43,28,12,14,6,24
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Crocinitomicaceae*NA*Crocinitomicaceae bacterium TMED16",46,30,9,22,16,3
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Aquiflexum*Aquiflexum sp. Z0201",19,35,3,54,36,16
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Amniculibacterium*Amniculibacterium aquaticum",72,85,24,48,58,22
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Empedobacter*Empedobacter sp. MRS2",3,24,3,10,10,5
"Bacteria*Bacteroidetes*Saprospiria*Saprospirales*Lewinellaceae*Lewinella*Lewinella sp. W8",30,29,10,31,10,10
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. SaA2.12",67,61,3,37,19,7
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter sp. KIGAM108",9,19,27,3,30,9
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter sp. BRD72",7,33,28,10,21,44
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium multivorum",26,4,5,3,4,3
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Gelidibacter*Gelidibacter gilvus",106,37,7,37,9,8
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter ginsengisoli",21,91,16,22,17,23
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium daeguense",1,2,5,108,2,1
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Salegentibacter*Salegentibacter salinarum",34,43,11,11,12,18
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Rufibacter*Rufibacter glacialis",14,44,9,25,15,59
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. L105",214,43,17,58,33,39
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium arcticum",45,93,1,21,45,21
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Dyadobacter*Dyadobacter sp. 50-39",20,3,3,15,8,4
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*NA*NA*Sphingobacteriales bacterium 41-5",23,143,31,47,16,60
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*NA*NA*Flavobacteriales bacterium TMED84",19,48,3,9,64,3
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium cyanobacteriorum",48,234,11,22,19,45
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. eg",18,72,22,27,18,9
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Polaribacter*Polaribacter sp. WD7",6,13,1,19,17,4
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium sp. JUb20",46,24,15,11,3,21
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Echinicola*Echinicola sp. LN3S3",43,100,19,20,23,10
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium sp. SN22",4,6,19,2,1,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Muricauda*Muricauda sp. 501str8",13,6,6,18,5,37
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Arenibacter*Arenibacter latericius",9,22,14,9,7,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Crocinitomicaceae*Brumimicrobium*Brumimicrobium glaciale",55,177,22,12,16,39
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Amoebophilaceae*Candidatus Amoebophilus*Candidatus Amoebophilus asiaticus",875,35,4,40,4,4
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Spirosoma*Spirosoma luteum",13,13,6,19,2,1
"Bacteria*Bacteroidetes*Flavobacteriia*NA*NA*NA*Flavobacteria bacterium MS024-2A",18,28,12,28,15,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Muriicola*Muriicola jejuensis",36,36,41,61,11,5
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter ginsenosidimutans",29,40,18,10,4,16
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Porphyromonadaceae*Porphyromonas*Porphyromonas sp. KLE 1280",46,99,10,36,29,80
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides*Bacteroides intestinalis CAG:564",94,50,33,109,74,896
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Parafilimonas*Parafilimonas terrae",40,24,30,36,29,19
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Elizabethkingia*Elizabethkingia ursingii",2,10,7,23,13,9
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Chitinophaga*Chitinophaga sp. CF118",35,90,23,28,68,6
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium MED-G20",14,35,1,7,11,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*NA*NA*Flavobacteriales bacterium TMED191",25,62,11,28,52,14
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium HGW-Bacteroidetes-16",24,124,21,105,67,41
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Myroides*Myroides sp. N17-2",15,56,12,57,4,10
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium limi",7,22,17,55,5,4
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Chitinophaga*Chitinophaga sp. OK723",32,35,54,36,14,15
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Dokdonia*Dokdonia sinensis",65,41,5,41,3,11
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*NA*Cyclobacteriaceae bacterium YHN15",8,11,38,31,31,7
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Dyadobacter*Dyadobacter flavalbus",35,56,13,28,36,2
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Capnocytophaga*Capnocytophaga endodontalis",20,68,15,28,22,4
"Bacteria*Bacteroidetes*NA*Bacteroidetes Order II. Incertae sedis*Rhodothermaceae*Rhodothermus*Rhodothermus marinus",22,72,9,71,25,9
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium subsaxonicum",52,15,2,41,23,23
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flagellimonas*Flagellimonas flava",25,56,15,35,15,9
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Lutibacter*Lutibacter maritimus",23,12,24,44,6,12
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Larkinella*Larkinella arboricola",18,18,2,7,14,6
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Ochrovirga*Ochrovirga pacifica",20,17,21,53,7,16
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter glucosidilyticus",36,48,16,24,21,13
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Cecembia*Cecembia calidifontis",75,16,12,16,31,5
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Mariniradius*Mariniradius saccharolyticus",43,36,26,32,9,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Salegentibacter*Salegentibacter sp. Hel_I_6",4,68,20,16,14,18
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flagellimonas*Flagellimonas maritima",4,18,2,21,6,7
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter sp. PAMC 26554",30,14,24,11,6,3
"Bacteria*Bacteroidetes*Saprospiria*Saprospirales*Lewinellaceae*Lewinella*Lewinella xylanilytica",31,78,28,30,15,19
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Dyadobacter*Dyadobacter jiangsuensis",4,5,14,22,2,1
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. TAB 87",24,18,11,19,12,2
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium sp. Leaf405",2,38,40,4,4,6
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium crassostreae",18,20,11,7,7,9
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Wenyingzhuangia*Wenyingzhuangia fucanilytica",5,9,6,20,3,3
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. BBQ-18",63,184,17,20,17,24
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Flexibacter*Flexibacter sp. CG_4_10_14_3_um_filter_32_15",64,31,26,31,9,9
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter jeollabukensis",8,57,1,17,25,7
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Candidatus Nephrothrix*Candidatus Nephrothrix sp. EaCA",33,152,27,84,13,80
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Muribaculaceae*NA*Muribaculaceae bacterium Isolate-083 (Janvier)",25,80,26,67,74,16
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Larkinella*Larkinella sp. BK230",96,36,33,16,6,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Muricauda*Muricauda sp. 176CP4-71",16,5,17,9,4,6
